Date,Weekly earnings,percent changes: single month,percent changes: 3 month average,Date.y,Total weekly hours (millions),Average weekly hours of work:All workers,EndDate
1992-03-01,,,,Mar-May 1992,849.30,33.30,1992-05-01
1992-04-01,,,,Apr-Jun 1992,846.10,33.20,1992-06-01
1992-05-01,,,,May-Jul 1992,859.30,33.70,1992-07-01
1992-06-01,,,,Jun-Aug 1992,838.70,32.80,1992-08-01
1992-07-01,,,,Jul-Sep 1992,826.60,32.30,1992-09-01
1992-08-01,,,,Aug-Oct 1992,831.50,32.60,1992-10-01
1992-09-01,,,,Sep-Nov 1992,865.80,34.10,1992-11-01
1992-10-01,,,,Oct-Dec 1992,853.00,33.70,1992-12-01
1992-11-01,,,,Nov-Jan 1993,810.00,32.10,1993-01-01
1992-12-01,,,,Dec-Feb 1993,806.30,32.10,1993-02-01
1993-01-01,,,,Jan-Mar 1993,827.30,33.00,1993-03-01
1993-02-01,,,,Feb-Apr 1993,842.80,33.60,1993-04-01
1993-03-01,,,,Mar-May 1993,843.50,33.50,1993-05-01
1993-04-01,,,,Apr-Jun 1993,831.20,33.00,1993-06-01
1993-05-01,,,,May-Jul 1993,850.30,33.60,1993-07-01
1993-06-01,,,,Jun-Aug 1993,820.30,32.40,1993-08-01
1993-07-01,,,,Jul-Sep 1993,819.00,32.20,1993-09-01
1993-08-01,,,,Aug-Oct 1993,826.60,32.60,1993-10-01
1993-09-01,,,,Sep-Nov 1993,854.80,33.80,1993-11-01
1993-10-01,,,,Oct-Dec 1993,856.70,34.00,1993-12-01
1993-11-01,,,,Nov-Jan 1994,804.50,32.00,1994-01-01
1993-12-01,,,,Dec-Feb 1994,809.40,32.20,1994-02-01
1994-01-01,,,,Jan-Mar 1994,826.70,32.90,1994-03-01
1994-02-01,,,,Feb-Apr 1994,855.40,33.90,1994-04-01
1994-03-01,,,,Mar-May 1994,853.60,33.80,1994-05-01
1994-04-01,,,,Apr-Jun 1994,837.80,33.10,1994-06-01
1994-05-01,,,,May-Jul 1994,858.00,33.70,1994-07-01
1994-06-01,,,,Jun-Aug 1994,831.30,32.50,1994-08-01
1994-07-01,,,,Jul-Sep 1994,833.00,32.50,1994-09-01
1994-08-01,,,,Aug-Oct 1994,841.00,32.90,1994-10-01
1994-09-01,,,,Sep-Nov 1994,875.90,34.30,1994-11-01
1994-10-01,,,,Oct-Dec 1994,883.30,34.60,1994-12-01
1994-11-01,,,,Nov-Jan 1995,828.20,32.50,1995-01-01
1994-12-01,,,,Dec-Feb 1995,824.80,32.40,1995-02-01
1995-01-01,,,,Jan-Mar 1995,836.60,32.90,1995-03-01
1995-02-01,,,,Feb-Apr 1995,868.20,34.10,1995-04-01
1995-03-01,,,,Mar-May 1995,869.20,34.00,1995-05-01
1995-04-01,,,,Apr-Jun 1995,853.00,33.30,1995-06-01
1995-05-01,,,,May-Jul 1995,872.70,33.90,1995-07-01
1995-06-01,,,,Jun-Aug 1995,843.30,32.60,1995-08-01
1995-07-01,,,,Jul-Sep 1995,841.90,32.50,1995-09-01
1995-08-01,,,,Aug-Oct 1995,849.30,32.80,1995-10-01
1995-09-01,,,,Sep-Nov 1995,884.20,34.20,1995-11-01
1995-10-01,,,,Oct-Dec 1995,895.30,34.50,1995-12-01
1995-11-01,,,,Nov-Jan 1996,833.80,32.20,1996-01-01
1995-12-01,,,,Dec-Feb 1996,829.30,32.20,1996-02-01
1996-01-01,,,,Jan-Mar 1996,838.00,32.60,1996-03-01
1996-02-01,,,,Feb-Apr 1996,872.80,33.90,1996-04-01
1996-03-01,,,,Mar-May 1996,873.50,33.80,1996-05-01
1996-04-01,,,,Apr-Jun 1996,862.00,33.30,1996-06-01
1996-05-01,,,,May-Jul 1996,881.40,34.00,1996-07-01
1996-06-01,,,,Jun-Aug 1996,852.50,32.70,1996-08-01
1996-07-01,,,,Jul-Sep 1996,851.10,32.60,1996-09-01
