Year ending [note 1],Units,Cars and Taxis,Light Commercial Vehicles [note 3],Heavy Goods Vehicles [note 4],Other Vehicles [note 5],All Motor Vehicles
01/12/1994,Billion vehicle miles,214.40,26.90,15.40,5.20,261.90
01/03/1995,Billion vehicle miles,215.30,27.10,15.50,5.20,263.20
01/06/1995,Billion vehicle miles,216.40,27.40,15.60,5.30,264.70
01/09/1995,Billion vehicle miles,217.50,27.60,15.70,5.30,266.10
01/12/1995,Billion vehicle miles,218.20,27.70,15.80,5.40,267.00
01/03/1996,Billion vehicle miles,219.70,27.90,15.90,5.40,268.90
01/06/1996,Billion vehicle miles,221.10,28.10,16.00,5.40,270.60
01/09/1996,Billion vehicle miles,222.60,28.40,16.20,5.40,272.50
01/12/1996,Billion vehicle miles,223.60,28.70,16.30,5.50,274.10
01/03/1997,Billion vehicle miles,224.10,28.80,16.30,5.50,274.70
01/06/1997,Billion vehicle miles,225.30,29.30,16.40,5.50,276.50
01/09/1997,Billion vehicle miles,225.90,29.70,16.60,5.60,277.80
01/12/1997,Billion vehicle miles,227.30,30.20,16.70,5.70,279.80
01/03/1998,Billion vehicle miles,228.50,30.70,16.90,5.70,281.80
01/06/1998,Billion vehicle miles,228.70,30.90,17.00,5.80,282.40
01/09/1998,Billion vehicle miles,229.50,31.30,17.10,5.80,283.80
01/12/1998,Billion vehicle miles,230.30,31.60,17.20,5.80,284.90
01/03/1999,Billion vehicle miles,231.20,31.70,17.30,5.80,286.00
01/06/1999,Billion vehicle miles,232.50,31.90,17.30,5.90,287.60
01/09/1999,Billion vehicle miles,233.40,32.00,17.40,6.00,288.80
01/12/1999,Billion vehicle miles,234.50,32.10,17.50,6.10,290.20
01/03/2000,Billion vehicle miles,235.80,32.20,17.60,6.10,291.70
01/06/2000,Billion vehicle miles,235.80,32.40,17.70,6.10,291.90
01/09/2000,Billion vehicle miles,233.90,32.30,17.60,6.00,289.80
01/12/2000,Billion vehicle miles,233.50,32.40,17.50,6.00,289.60
01/03/2001,Billion vehicle miles,233.00,32.50,17.40,6.00,288.80
01/06/2001,Billion vehicle miles,233.40,32.70,17.40,6.00,289.50
01/09/2001,Billion vehicle miles,235.40,32.90,17.40,6.00,291.80
01/12/2001,Billion vehicle miles,236.70,33.20,17.40,6.20,293.50
01/03/2002,Billion vehicle miles,238.20,33.20,17.50,6.30,295.30
01/06/2002,Billion vehicle miles,239.50,33.30,17.50,6.40,296.70
