REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Transport mode,TIME_PERIOD,OBS_VALUE
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,5.28
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,5.96
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,8.17
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,2.62
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,4.67
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,12.23
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,13.52
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,72.23
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,6.10
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,5.91
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,5.90
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,6.50
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,7.27
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,7.82
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,8.30
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,2.62
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,2.64
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,3.83
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,3.00
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,3.69
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,4.10
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,7.93
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,3.21
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,3.41
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,632.54
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,521.97
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,551.48
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,547.54
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,730.70
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,702.95
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,794.95
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,896.95
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,1000.00
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,981.65
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,1174.36
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,1305.79
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,813.08
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,532.44
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,9.34
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,16.13
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,10.56
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,9.69
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,12.10
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,14.76
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,17.68
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,15.91
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,16.73
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,19.97
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,3.47
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,8.53
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,5.13
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,61.60
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,11.52
TUR,Türkiye,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,21.75
TUR,Türkiye,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,30.00
TUR,Türkiye,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,24.41
TUR,Türkiye,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,25.98
TUR,Türkiye,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,16.19
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,5.62
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,6.36
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,6.76
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,15.76
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,7.59
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,6.95
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.26
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,3.30
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,2.35
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,2.34
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,3.02
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,10.48
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,9.55
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,11.10
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,3.92
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,4.89
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,4.98
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,5.93
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,5.50
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,6.52
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,6.13
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,7.21
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,8.01
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,9.03
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,8.25
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,1.78
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,2.14
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,2.34
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,9.81
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,8.43
