Date,Total Pay: Real AWE (2015 £),Total Pay: Real AWE (Index 2015=100),% changes: single month,% changes: 3 month average,Regular Pay: Real AWE (2015 £),Regular Pay: Real AWE (Index 2015=100),% changes: single month,% changes: 3 month average,
2000-01-01,424.00,87.90,,,406.00,89.50,,,
2000-02-01,413.00,85.60,,,406.00,89.40,,,
2000-03-01,429.00,88.90,,,405.00,89.20,,,
2000-04-01,427.00,88.40,,,405.00,89.30,,,
2000-05-01,430.00,89.10,,,407.00,89.70,,,
2000-06-01,429.00,88.80,,,406.00,89.50,,,
2000-07-01,432.00,89.40,,,408.00,89.80,,,
2000-08-01,434.00,89.90,,,410.00,90.40,,,
2000-09-01,435.00,90.20,,,411.00,90.60,,,
2000-10-01,436.00,90.20,,,413.00,90.90,,,
2000-11-01,437.00,90.50,,,413.00,91.00,,,
2000-12-01,443.00,91.80,,,415.00,91.50,,,
2001-01-01,444.00,91.90,4.60,,417.00,91.80,2.60,,
2001-02-01,445.00,92.10,7.60,,417.00,92.00,2.90,,
2001-03-01,445.00,92.20,3.70,5.30,419.00,92.30,3.50,3.00,
2001-04-01,447.00,92.50,4.60,5.30,422.00,93.10,4.20,3.60,
2001-05-01,444.00,92.00,3.30,3.90,420.00,92.50,3.10,3.60,
2001-06-01,446.00,92.30,4.00,3.90,419.00,92.30,3.10,3.50,
2001-07-01,446.00,92.30,3.30,3.50,423.00,93.20,3.80,3.30,
2001-08-01,448.00,92.80,3.10,3.50,425.00,93.60,3.50,3.50,
2001-09-01,449.00,92.90,3.00,3.20,425.00,93.70,3.40,3.60,
2001-10-01,451.00,93.40,3.50,3.20,428.00,94.20,3.60,3.50,
2001-11-01,452.00,93.70,3.60,3.40,429.00,94.60,4.00,3.70,
2001-12-01,453.00,93.80,2.30,3.10,429.00,94.60,3.40,3.60,
2002-01-01,453.00,93.90,2.20,2.70,429.00,94.60,3.00,3.40,
2002-02-01,451.00,93.30,1.30,1.90,433.00,95.40,3.70,3.40,
2002-03-01,452.00,93.60,1.50,1.70,434.00,95.50,3.50,3.40,
2002-04-01,455.00,94.20,1.80,1.60,433.00,95.40,2.50,3.20,
2002-05-01,457.00,94.50,2.70,2.00,434.00,95.50,3.20,3.10,
2002-06-01,458.00,94.90,2.90,2.50,435.00,95.90,3.90,3.20,
2002-07-01,459.00,94.90,2.80,2.80,436.00,96.00,3.00,3.40,
2002-08-01,457.00,94.70,2.10,2.60,434.00,95.60,2.10,3.00,
2002-09-01,458.00,94.90,2.20,2.40,435.00,95.90,2.30,2.50,
2002-10-01,458.00,94.80,1.40,1.90,435.00,95.90,1.80,2.10,
2002-11-01,458.00,94.90,1.30,1.60,436.00,96.00,1.50,1.90,
2002-12-01,457.00,94.70,0.90,1.20,435.00,95.80,1.30,1.50,
2003-01-01,459.00,95.00,1.20,1.10,438.00,96.50,2.10,1.60,
2003-02-01,453.00,93.80,0.60,0.90,439.00,96.70,1.30,1.50,
2003-03-01,462.00,95.80,2.30,1.30,438.00,96.50,1.00,1.50,
2003-04-01,463.00,95.80,1.70,1.50,440.00,97.00,1.70,1.30,
2003-05-01,464.00,96.00,1.60,1.90,442.00,97.40,2.00,1.60,
2003-06-01,465.00,96.20,1.30,1.50,443.00,97.60,1.80,1.80,
2003-07-01,465.00,96.40,1.50,1.50,443.00,97.60,1.70,1.80,
2003-08-01,466.00,96.50,1.90,1.60,444.00,97.80,2.30,1.90,
2003-09-01,468.00,96.80,2.10,1.80,444.00,97.90,2.10,2.00,
2003-10-01,469.00,97.20,2.50,2.20,445.00,98.00,2.20,2.20,
2003-11-01,469.00,97.10,2.40,2.30,446.00,98.30,2.40,2.20,
2003-12-01,470.00,97.20,2.70,2.50,447.00,98.60,2.90,2.50,
2004-01-01,472.00,97.70,2.90,2.60,447.00,98.40,2.00,2.40,
2004-02-01,463.00,95.80,2.10,2.60,447.00,98.50,1.90,2.30,
2004-03-01,473.00,97.90,2.20,2.40,448.00,98.80,2.40,2.10,
2004-04-01,478.00,98.90,3.20,2.50,451.00,99.30,2.40,2.20,
2004-05-01,477.00,98.70,2.90,2.80,452.00,99.50,2.10,2.30,
2004-06-01,478.00,98.90,2.80,3.00,452.00,99.60,2.00,2.20,
2004-07-01,479.00,99.30,3.00,2.90,454.00,99.90,2.40,2.20,
2004-08-01,481.00,99.60,3.20,3.00,455.00,100.30,2.60,2.30,
2004-09-01,483.00,100.00,3.30,3.20,456.00,100.40,2.50,2.50,
2004-10-01,485.00,100.40,3.40,3.30,457.00,100.70,2.70,2.60,
2004-11-01,485.00,100.40,3.30,3.30,457.00,100.60,2.30,2.50,
2004-12-01,485.00,100.40,3.30,3.30,458.00,101.00,2.40,2.50,
2005-01-01,486.00,100.60,3.00,3.20,458.00,100.90,2.60,2.40,
2005-02-01,482.00,99.70,4.10,3.40,458.00,101.00,2.50,2.50,
2005-03-01,485.00,100.30,2.50,3.20,460.00,101.50,2.70,2.60,
2005-04-01,488.00,101.00,2.10,2.90,461.00,101.50,2.20,2.50,
2005-05-01,489.00,101.20,2.50,2.40,461.00,101.60,2.10,2.30,
2005-06-01,489.00,101.20,2.30,2.30,462.00,101.80,2.30,2.20,
2005-07-01,491.00,101.60,2.40,2.40,463.00,102.00,2.00,2.10,
2005-08-01,494.00,102.30,2.70,2.50,464.00,102.20,1.90,2.10,
2005-09-01,494.00,102.30,2.30,2.40,465.00,102.40,2.00,2.00,
2005-10-01,494.00,102.40,1.90,2.30,465.00,102.50,1.80,1.90,
2005-11-01,497.00,102.90,2.50,2.20,466.00,102.60,2.00,1.90,
2005-12-01,496.00,102.70,2.30,2.20,467.00,102.80,1.80,1.80,
2006-01-01,494.00,102.30,1.70,2.20,468.00,103.00,2.10,1.90,
2006-02-01,500.00,103.50,3.80,2.60,468.00,103.20,2.20,2.00,
2006-03-01,500.00,103.60,3.20,2.90,469.00,103.30,1.80,2.00,
2006-04-01,501.00,103.70,2.70,3.20,469.00,103.30,1.80,1.90,
2006-05-01,500.00,103.50,2.30,2.70,469.00,103.30,1.70,1.80,
2006-06-01,503.00,104.20,2.90,2.60,470.00,103.50,1.70,1.70,
2006-07-01,502.00,103.90,2.20,2.50,469.00,103.30,1.30,1.50,
2006-08-01,500.00,103.50,1.20,2.10,468.00,103.10,0.90,1.30,
2006-09-01,501.00,103.70,1.30,1.60,470.00,103.50,1.00,1.10,
2006-10-01,504.00,104.30,1.90,1.50,473.00,104.10,1.60,1.20,
2006-11-01,505.00,104.50,1.60,1.60,471.00,103.90,1.20,1.30,
2006-12-01,508.00,105.20,2.50,2.00,471.00,103.80,1.00,1.30,
2007-01-01,512.00,106.00,3.60,2.50,472.00,104.00,1.00,1.10,
2007-02-01,522.00,108.10,4.40,3.50,473.00,104.30,1.10,1.00,
2007-03-01,505.00,104.50,0.90,3.00,473.00,104.20,0.90,1.00,
2007-04-01,508.00,105.30,1.60,2.30,475.00,104.60,1.20,1.10,
2007-05-01,511.00,105.80,2.20,1.50,477.00,105.10,1.80,1.30,
2007-06-01,513.00,106.20,2.00,1.90,478.00,105.40,1.80,1.60,
2007-07-01,516.00,106.80,2.80,2.30,481.00,106.10,2.70,2.10,
2007-08-01,517.00,107.10,3.40,2.70,482.00,106.30,3.10,2.50,
2007-09-01,519.00,107.50,3.70,3.30,482.00,106.30,2.70,2.80,
2007-10-01,515.00,106.50,2.10,3.10,480.00,105.80,1.70,2.50,
2007-11-01,518.00,107.20,2.60,2.80,481.00,106.00,2.10,2.10,
2007-12-01,513.00,106.20,0.90,1.90,480.00,105.80,1.90,1.90,
2008-01-01,521.00,107.80,1.70,1.70,481.00,105.90,1.80,1.90,
2008-02-01,532.00,110.10,1.90,1.50,482.00,106.10,1.70,1.80,
2008-03-01,517.00,106.90,2.30,2.00,482.00,106.20,1.80,1.80,
2008-04-01,515.00,106.60,1.30,1.80,482.00,106.20,1.60,1.70,
2008-05-01,516.00,106.70,0.90,1.50,478.00,105.40,0.30,1.20,
2008-06-01,511.00,105.70,-0.50,0.60,477.00,105.00,-0.30,0.50,
2008-07-01,511.00,105.70,-1.00,-0.20,476.00,104.90,-1.00,-0.40,
2008-08-01,509.00,105.30,-1.60,-1.10,476.00,104.90,-1.40,-0.90,
2008-09-01,506.00,104.90,-2.50,-1.70,474.00,104.40,-1.70,-1.40,
2008-10-01,510.00,105.50,-1.00,-1.70,477.00,105.10,-0.70,-1.30,
2008-11-01,509.00,105.30,-1.70,-1.70,478.00,105.20,-0.70,-1.10,
2008-12-01,511.00,105.80,-0.40,-1.00,481.00,105.90,0.10,-0.50,
2009-01-01,500.00,103.40,-4.10,-2.10,480.00,105.70,-0.20,-0.30,
2009-02-01,487.00,100.80,-8.40,-4.40,479.00,105.60,-0.50,-0.20,
2009-03-01,492.00,101.90,-4.70,-5.80,478.00,105.30,-0.90,-0.50,
2009-04-01,514.00,106.30,-0.30,-4.50,480.00,105.80,-0.40,-0.60,
2009-05-01,510.00,105.50,-1.10,-2.10,479.00,105.60,0.20,-0.40,
2009-06-01,506.00,104.90,-0.80,-0.70,478.00,105.30,0.30,0.00,
2009-07-01,504.00,104.30,-1.40,-1.10,474.00,104.40,-0.50,0.00,
2009-08-01,504.00,104.30,-0.90,-1.00,475.00,104.60,-0.30,-0.20,
2009-09-01,504.00,104.30,-0.50,-0.90,475.00,104.60,0.20,-0.20,
2009-10-01,503.00,104.10,-1.30,-0.90,474.00,104.50,-0.50,-0.20,
2009-11-01,502.00,103.90,-1.30,-1.00,473.00,104.20,-1.00,-0.50,
2009-12-01,502.00,104.00,-1.70,-1.40,473.00,104.30,-1.60,-1.00,
2010-01-01,490.00,101.50,-1.90,-1.60,473.00,104.10,-1.50,-1.40,
2010-02-01,502.00,103.80,3.00,-0.20,472.00,104.00,-1.40,-1.50,
2010-03-01,506.00,104.70,2.70,1.20,472.00,103.90,-1.30,-1.40,
2010-04-01,498.00,103.10,-3.10,0.80,470.00,103.50,-2.10,-1.60,
2010-05-01,498.00,103.10,-2.30,-0.90,469.00,103.30,-2.20,-1.90,
2010-06-01,498.00,103.10,-1.70,-2.30,469.00,103.40,-1.90,-2.10,
2010-07-01,497.00,102.90,-1.40,-1.80,470.00,103.60,-0.80,-1.60,
2010-08-01,497.00,102.90,-1.40,-1.50,470.00,103.60,-1.00,-1.20,
2010-09-01,499.00,103.30,-1.00,-1.20,471.00,103.70,-0.90,-0.90,
2010-10-01,497.00,103.00,-1.10,-1.10,470.00,103.50,-1.00,-0.90,
2010-11-01,496.00,102.80,-1.10,-1.10,469.00,103.30,-0.80,-0.90,
2010-12-01,492.00,101.90,-2.00,-1.40,466.00,102.60,-1.60,-1.10,
2011-01-01,495.00,102.40,1.00,-0.80,465.00,102.40,-1.70,-1.40,
2011-02-01,491.00,101.60,-2.20,-1.10,463.00,101.90,-2.00,-1.80,
2011-03-01,497.00,102.80,-1.80,-1.00,462.00,101.70,-2.10,-2.00,
2011-04-01,487.00,100.90,-2.10,-2.00,459.00,101.10,-2.30,-2.20,
2011-05-01,488.00,101.00,-2.10,-2.00,459.00,101.20,-2.10,-2.20,
2011-06-01,491.00,101.70,-1.40,-1.90,459.00,101.10,-2.20,-2.20,
2011-07-01,488.00,101.10,-1.70,-1.70,457.00,100.80,-2.70,-2.30,
2011-08-01,484.00,100.30,-2.50,-1.90,457.00,100.70,-2.80,-2.60,
2011-09-01,483.00,99.90,-3.20,-2.50,455.00,100.30,-3.30,-2.90,
2011-10-01,483.00,100.00,-2.90,-2.90,456.00,100.40,-3.00,-3.00,
2011-11-01,483.00,100.00,-2.70,-2.90,456.00,100.40,-2.80,-3.00,
2011-12-01,481.00,99.70,-2.20,-2.60,455.00,100.30,-2.30,-2.70,
2012-01-01,480.00,99.30,-3.00,-2.60,453.00,99.80,-2.50,-2.50,
2012-02-01,481.00,99.50,-2.00,-2.40,455.00,100.30,-1.60,-2.10,
2012-03-01,482.00,99.80,-2.90,-2.60,455.00,100.20,-1.50,-1.90,
2012-04-01,483.00,99.90,-1.00,-2.00,453.00,99.80,-1.30,-1.50,
2012-05-01,482.00,99.90,-1.10,-1.60,455.00,100.20,-1.00,-1.30,
2012-06-01,484.00,100.20,-1.40,-1.10,457.00,100.60,-0.50,-0.90,
2012-07-01,483.00,100.00,-1.10,-1.20,454.00,100.10,-0.70,-0.70,
2012-08-01,483.00,100.00,-0.30,-0.90,455.00,100.30,-0.30,-0.50,
2012-09-01,480.00,99.40,-0.60,-0.60,452.00,99.70,-0.70,-0.60,
2012-10-01,477.00,98.80,-1.20,-0.70,450.00,99.10,-1.30,-0.80,
2012-11-01,477.00,98.80,-1.10,-1.00,450.00,99.20,-1.30,-1.10,
