Date,Whole Economy: Weekly Earnings (£),% changes: Single month,% changes: 3 month average
2000-01-01,305.00,,
2000-02-01,300.00,,
2000-03-01,311.00,,
2000-04-01,309.00,,
2000-05-01,311.00,,
2000-06-01,311.00,,
2000-07-01,313.00,,
2000-08-01,315.00,,
2000-09-01,317.00,,
2000-10-01,318.00,,
2000-11-01,320.00,,
2000-12-01,323.00,,
2001-01-01,321.00,5.40,
2001-02-01,325.00,8.30,
2001-03-01,326.00,4.70,6.10
2001-04-01,326.00,5.70,6.20
2001-05-01,327.00,5.00,5.10
2001-06-01,328.00,5.80,5.50
2001-07-01,328.00,4.90,5.20
2001-08-01,331.00,5.10,5.30
2001-09-01,331.00,4.50,4.80
2001-10-01,333.00,4.70,4.80
2001-11-01,334.00,4.40,4.60
2001-12-01,334.00,3.30,4.20
2002-01-01,333.00,3.50,3.80
2002-02-01,334.00,2.90,3.20
2002-03-01,334.00,2.50,3.00
2002-04-01,338.00,3.60,3.00
2002-05-01,339.00,3.70,3.30
2002-06-01,340.00,3.70,3.70
2002-07-01,341.00,4.00,3.80
2002-08-01,341.00,3.10,3.60
2002-09-01,342.00,3.30,3.40
2002-10-01,342.00,2.90,3.10
2002-11-01,343.00,2.90,3.00
2002-12-01,343.00,2.60,2.80
2003-01-01,339.00,2.00,2.50
2003-02-01,341.00,2.00,2.20
2003-03-01,349.00,4.30,2.80
2003-04-01,347.00,2.70,3.00
2003-05-01,348.00,2.80,3.30
2003-06-01,349.00,2.60,2.70
2003-07-01,351.00,2.90,2.70
2003-08-01,352.00,3.30,2.90
2003-09-01,355.00,3.70,3.30
2003-10-01,357.00,4.10,3.70
2003-11-01,357.00,3.90,3.90
2003-12-01,357.00,4.20,4.10
2004-01-01,364.00,7.40,5.10
2004-02-01,352.00,3.20,4.90
2004-03-01,361.00,3.60,4.70
2004-04-01,362.00,4.20,3.70
2004-05-01,363.00,4.30,4.10
2004-06-01,364.00,4.20,4.20
2004-07-01,365.00,3.80,4.10
2004-08-01,367.00,4.30,4.10
2004-09-01,369.00,4.20,4.10
2004-10-01,372.00,4.20,4.20
2004-11-01,372.00,4.30,4.20
2004-12-01,373.00,4.40,4.30
2005-01-01,379.00,4.10,4.20
2005-02-01,371.00,5.40,4.60
2005-03-01,376.00,4.00,4.50
2005-04-01,379.00,4.60,4.60
2005-05-01,380.00,4.50,4.30
2005-06-01,380.00,4.40,4.50
2005-07-01,383.00,4.90,4.60
2005-08-01,386.00,5.10,4.80
2005-09-01,387.00,4.90,5.00
2005-10-01,388.00,4.30,4.80
2005-11-01,390.00,4.80,4.70
2005-12-01,390.00,4.50,4.50
2006-01-01,391.00,3.20,4.20
2006-02-01,392.00,5.60,4.40
2006-03-01,398.00,5.90,4.90
2006-04-01,395.00,4.40,5.30
2006-05-01,397.00,4.70,5.00
2006-06-01,401.00,5.50,4.90
2006-07-01,401.00,4.70,5.00
2006-08-01,401.00,3.80,4.70
2006-09-01,402.00,3.80,4.10
2006-10-01,405.00,4.50,4.00
2006-11-01,407.00,4.30,4.20
2006-12-01,412.00,5.80,4.90
2007-01-01,415.00,6.00,5.40
2007-02-01,419.00,6.80,6.20
2007-03-01,417.00,4.60,5.80
2007-04-01,412.00,4.30,5.30
2007-05-01,416.00,4.70,4.50
2007-06-01,418.00,4.30,4.40
2007-07-01,420.00,4.90,4.60
2007-08-01,422.00,5.20,4.80
2007-09-01,424.00,5.50,5.20
2007-10-01,423.00,4.30,5.00
2007-11-01,426.00,4.70,4.90
2007-12-01,426.00,3.20,4.10
2008-01-01,429.00,3.50,3.80
2008-02-01,435.00,4.00,3.60
2008-03-01,437.00,4.90,4.10
2008-04-01,432.00,4.80,4.60
2008-05-01,434.00,4.30,4.70
2008-06-01,433.00,3.50,4.20
2008-07-01,434.00,3.40,3.70
2008-08-01,435.00,3.10,3.30
2008-09-01,435.00,2.70,3.10
2008-10-01,437.00,3.50,3.10
2008-11-01,436.00,2.30,2.80
2008-12-01,436.00,2.50,2.80
2009-01-01,421.00,-1.80,1.00
2009-02-01,409.00,-6.00,-1.80
2009-03-01,433.00,-0.90,-2.90
2009-04-01,438.00,1.40,-1.80
2009-05-01,437.00,0.90,0.50
2009-06-01,438.00,1.20,1.10
2009-07-01,437.00,0.50,0.80
2009-08-01,438.00,0.70,0.80
2009-09-01,439.00,0.90,0.70
