date,fuel,price,dayofquery,Car,MY,Category,ppm,UniqueID,fuelingcategory,DirectDebitComparison,DirectDebitComparisonNight
2021-01-04,mean rapid charger,43.14,2020-10-28,Mini Electric (3-door),2021,City Car,12.03,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-04,Petrol,116.51,2021-01-04,Mini Cooper (3-door),2021,City Car,12.18,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-04,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-05,mean rapid charger,43.14,2020-10-28,Mini Electric (3-door),2021,City Car,12.03,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-05,Petrol,116.67,2021-01-05,Mini Cooper (3-door),2021,City Car,12.19,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-05,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-06,mean rapid charger,43.14,2020-10-28,Mini Electric (3-door),2021,City Car,12.03,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-06,Petrol,116.82,2021-01-06,Mini Cooper (3-door),2021,City Car,12.21,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-06,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-07,mean rapid charger,43.14,2020-10-28,Mini Electric (3-door),2021,City Car,12.03,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-07,Petrol,116.93,2021-01-07,Mini Cooper (3-door),2021,City Car,12.22,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-07,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-08,mean rapid charger,43.14,2020-10-28,Mini Electric (3-door),2021,City Car,12.03,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
