Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,22783,29511,6.3,35393,5.8,10050.00,16461.00,19437.00,21693.00,25598.00,34244,40000.00,43160.00,47283.00,60776.00,2023-01-01
"Managers, directors and senior officials",2563,45702,8.3,61946,7,19691.00,27118.00,30000.00,32900.00,39052.00,53283,63804.00,71357.00,80000.00,108055.00,2023-01-01
Corporate managers and directors,2033,50498,9.8,67815,8.1,20061.00,28537.00,31893.00,35721.00,42858.00,59684,71733.00,78554.00,88870.00,117349.00,2023-01-01
Other managers and proprietors,530,34589,5.8,39439,3.6,18502.00,24485.00,26260.00,28060.00,31030.00,38402,42610.00,45506.00,48674.00,58997.00,2023-01-01
Professional occupations,6617,40553,5,44359,5.3,19734.00,27087.00,29636.00,32042.00,36303.00,44519,49636.00,52722.00,56594.00,69500.00,2023-01-01
"Science, research, engineering and technology professionals",1626,45793,6.7,50438,7.5,26165.00,31919.00,34566.00,37016.00,41485.00,50383,56526.00,59998.00,64230.00,77200.00,2023-01-01
Health professionals,1595,35841,5.6,39470,6.5,12731.00,22463.00,25517.00,27743.00,32300.00,40008,44158.00,47120.00,49936.00,60446.00,2023-01-01
Teaching and other educational professionals,1490,38302,3.6,38288,2.5,15929.00,24488.00,27197.00,29689.00,34382.00,41979,45191.00,47391.00,50219.00,58820.00,2023-01-01
"Business, media and public service professionals",1905,42051,5.5,48008,2.6,23034.00,28749.00,31193.00,33475.00,37832.00,46648,52463.00,55975.00,60543.00,74351.00,2023-01-01
Associate professional occupations,3445,32162,3.2,36748,3.9,15783.00,22109.00,24000.00,25692.00,28875.00,36045,40960.00,43603.00,47165.00,58221.00,2023-01-01
"Science, engineering and technology associate professionals",703,31637,5.6,33860,5.7,19718.00,23764.00,25025.00,26554.00,29094.00,34760,38262.00,40507.00,42842.00,49707.00,2023-01-01
Health and social care associate professionals,517,23002,6.5,23074,2.3,9599.00,14296.00,16198.00,17887.00,20717.00,25156,27758.00,29277.00,30635.00,35226.00,2023-01-01
Protective service occupations,289,42576,2.1,41195,0.4,26695.00,31426.00,33621.00,35086.00,38609.00,45081,47430.00,48523.00,50200.00,55057.00,2023-01-01
"Culture, media and sports occupations",185,25636,0.5,33530,16.3,x,x,x,x,21913.00,29616,33548.00,36313.00,x,x,2023-01-01
Business and public service associate professionals,1752,35166,4.7,41543,3.8,19243.00,24563.00,26258.00,27963.00,31248.00,39683,44986.00,48494.00,52824.00,70128.00,2023-01-01
Administrative and secretarial occupations,2503,22921,7.6,23594,4.7,9096.00,12793.00,14898.00,17046.00,20527.00,25279,27971.00,29498.00,31738.00,38101.00,2023-01-01
Administrative occupations,2057,23687,7.2,24430,4.7,9559.00,13866.00,16257.00,18344.00,21480.00,26079,28600.00,30284.00,32501.00,38889.00,2023-01-01
Secretarial and related occupations,446,18349,4.8,19741,4.8,7275.00,10420.00,11734.00,12781.00,15357.00,21181,23665.00,25432.00,26965.00,33255.00,2023-01-01
Skilled trades occupations,1447,30468,6.1,31612,5.6,15600.00,21437.00,23187.00,24760.00,27500.00,33399,36721.00,38779.00,41258.00,48186.00,2023-01-01
Skilled agricultural and related trades,92,24018,7.4,24259,6.2,x,x,x,21081.00,22788.00,25753,27048.00,x,x,x,2023-01-01
"Skilled metal, electrical and electronic trades",771,34462,5.7,35849,6.4,21134.00,25657.00,27164.00,28831.00,31846.00,37432,40898.00,42810.00,45191.00,52649.00,2023-01-01
Skilled construction and building trades,264,31934,6.3,32560,4.8,18641.00,23626.00,25332.00,26945.00,29373.00,34112,37002.00,38574.00,40861.00,46557.00,2023-01-01
"Textiles, printing and other skilled trades",320,22873,8.8,22730,7.8,10033.00,13503.00,15600.00,17277.00,20463.00,25041,27348.00,28541.00,30199.00,34919.00,2023-01-01
"Caring, leisure and other service occupations",1776,18124,8.7,18615,7.8,6782.00,10476.00,12000.00,13382.00,15681.00,20492,23038.00,24387.00,25946.00,30550.00,2023-01-01
Caring personal service occupations,1471,17897,8.8,18384,8.1,6836.00,10639.00,12124.00,13477.00,15628.00,20166,22712.00,24000.00,25489.00,29826.00,2023-01-01
"Leisure, travel and related personal service occupations",291,18873,9.2,19454,8,6230.00,9648.00,11076.00,12569.00,15706.00,21840,24277.00,25946.00,27666.00,33219.00,2023-01-01
Community and civil enforcement occupations,14,26404,1.6,25257,1.2,x,19731.00,22002.00,22723.00,23710.00,27924,29389.00,29871.00,x,x,2023-01-01
Sales and customer service occupations,1379,15108,1.3,16776,1.8,5693.00,8330.00,9428.00,10470.00,12681.00,18065,20930.00,22299.00,24121.00,29218.00,2023-01-01
Sales occupations,1045,13654,1.1,15294,0.8,5187.00,7801.00,8641.00,9644.00,11573.00,16008,18957.00,20307.00,21815.00,26590.00,2023-01-01
Customer service occupations,334,21285,6,21417,6.7,8265.00,11845.00,13434.00,15012.00,18749.00,23494,25893.00,27242.00,29119.00,34710.00,2023-01-01
"Process, plant and machine operatives",1060,28201,7.4,29633,5.6,14446.00,20400.00,21986.00,23109.00,25658.00,31151,34916.00,36889.00,39300.00,44938.00,2023-01-01
"Process, plant and machine operatives",498,26783,7.5,27957,4.7,16437.00,20354.00,21727.00,22652.00,24656.00,29072,32080.00,34025.00,35886.00,41044.00,2023-01-01
Transport and mobile machine drivers and operatives,563,30115,7.2,31114,5.8,12795.00,20503.00,22315.00,23748.00,26991.00,33599,37447.00,39526.00,41573.00,47927.00,2023-01-01
Elementary occupations,1993,17565,3.4,17600,3.6,4074.00,7075.00,8293.00,9900.00,13260.00,21000,23702.00,25129.00,26617.00,31176.00,2023-01-01
