Date,Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile
2020-01-01,East,1970,24983,2.2,29584,2.3,7739.00,12471.00,15000.00,17436.00,21089.00,29129.00,34204.00,37315.00,41018.00,53168.00
2020-01-01,East Midlands,1518,24111,4.5,28150,4.8,8628.00,13247.00,15631.00,17575.00,20703.00,27943.00,32826.00,36011.00,39830.00,49676.00
2020-01-01,London,3228,35000,3.3,46915,3.2,10604.00,18342.00,21669.00,24227.00,29784.00,41369.00,49018.00,54003.00,60525.00,86702.00
2020-01-01,North East,784,23436,3.7,27224,3.4,8604.00,13559.00,15725.00,17377.00,20214.00,27000.00,31706.00,34193.00,37271.00,47344.00
2020-01-01,North West,2334,24396,3.9,28804,3.5,8628.00,13532.00,15850.00,17800.00,20973.00,28503.00,33597.00,36684.00,40137.00,50746.00
2020-01-01,Northern Ireland,840,23289,3.7,27061,3.2,8354.00,12814.00,14975.00,16825.00,19946.00,27000.00,32000.00,34802.00,38157.00,47210.00
2020-01-01,Scotland,1883,25668,4.5,29820,4,8837.00,14192.00,16703.00,18591.00,22171.00,30126.00,35016.00,38238.00,41301.00,51299.00
2020-01-01,South East,3322,27100,3.4,32142,1.4,8628.00,13800.00,16726.00,18839.00,23000.00,31678.00,37306.00,40802.00,44954.00,58882.00
2020-01-01,South West,1855,23736,4.3,27470,2.9,7695.00,12147.00,14444.00,16626.00,20213.00,27683.00,32399.00,35170.00,38613.00,49172.00
2020-01-01,United Kingdom,22341,25886,3.8,31646,3.2,8628.00,13756.00,16338.00,18349.00,21960.00,30350.00,35753.00,39093.00,42810.00,55798.00
2020-01-01,Wales,1014,23545,3.7,26405,2.9,8632.00,13403.00,15816.00,17443.00,20281.00,27314.00,31577.00,34561.00,37624.00,45044.00
2020-01-01,West Midlands,1817,24711,3.5,29392,4.2,8628.00,13452.00,15962.00,17867.00,21026.00,28650.00,33799.00,36729.00,40000.00,50742.00
2020-01-01,Yorkshire and The Humber,1777,23894,4,27692,3.4,8599.00,13212.00,15517.00,17435.00,20476.00,27753.00,32108.00,34930.00,38444.00,48165.00
2021-01-01,East,2139,25325,,29555,,8111.00,12707.00,15382.00,17805.00,21519.00,29361.00,34311.00,37565.00,41100.00,52260.00
2021-01-01,East Midlands,1629,24137,,27688,,8762.00,13807.00,16241.00,17943.00,21004.00,27741.00,32100.00,34685.00,37892.00,47579.00
2021-01-01,London,3461,34583,,45879,,10726.00,18666.00,21822.00,24236.00,29470.00,40260.00,47819.00,52266.00,58051.00,80251.00
2021-01-01,North East,822,23273,,26631,,8747.00,13504.00,15863.00,17489.00,20266.00,26755.00,31000.00,33768.00,36736.00,45993.00
2021-01-01,North West,2509,24398,,28485,,8557.00,13587.00,15819.00,17995.00,21100.00,28262.00,33303.00,36400.00,40082.00,50263.00
2021-01-01,Northern Ireland,895,24099,,27711,,8309.00,13350.00,15492.00,17609.00,20917.00,27777.00,32604.00,35211.00,38828.00,48504.00
2021-01-01,Scotland,2003,25970,,29752,,9141.00,14633.00,17044.00,18953.00,22417.00,30378.00,35354.00,38436.00,41446.00,50585.00
2021-01-01,South East,3567,27300,,32139,,8829.00,14485.00,17305.00,19369.00,23258.00,31750.00,37500.00,40584.00,44610.00,57482.00
2021-01-01,South West,1996,23790,,27253,,8022.00,12644.00,15004.00,17253.00,20597.00,27599.00,32031.00,34761.00,37985.00,48305.00
2021-01-01,United Kingdom,23901,25990,,31437,,8788.00,14163.00,16733.00,18722.00,22210.00,30265.00,35567.00,38890.00,42522.00,54657.00
2021-01-01,Wales,1044,23585,,26385,,8602.00,13565.00,15815.00,17737.00,20562.00,27388.00,31681.00,34459.00,38008.00,45875.00
2021-01-01,West Midlands,1955,25068,,29692,,8849.00,14111.00,16507.00,18399.00,21678.00,29060.00,33751.00,36959.00,40341.00,50500.00
