Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,25910,13.71,3.3,17.63,2.1,8.72,9.50,9.98,10.51,11.92,15.95,18.99,20.64,22.76,29.71,2020-01-01
"Managers, directors and senior officials",2844,20.96,-0.7,26.77,-1.3,10.22,12.83,14.14,15.33,18.07,24.79,29.81,32.92,37.11,49.46,2020-01-01
Corporate managers and directors,2395,22.76,-1,28.51,-1.6,10.74,13.75,15.09,16.52,19.52,26.58,31.94,35.57,39.33,51.79,2020-01-01
Other managers and proprietors,450,14.86,0.1,17.68,1.6,9.36,10.46,11.35,12.02,13.42,16.65,19.24,20.53,22.34,27.60,2020-01-01
Professional occupations,6247,21.34,1.1,23.38,1.1,13.12,15.67,16.71,17.67,19.48,23.28,25.64,27.18,28.98,35.54,2020-01-01
"  Science, research, engineering and technology professionals",1426,21.35,-0.6,22.94,-0.2,12.87,15.33,16.51,17.69,19.49,23.46,26.16,27.64,29.43,34.79,2020-01-01
Health professionals,1628,19.66,1,22.49,1.3,13.32,15.65,16.12,16.86,18.28,21.24,22.98,24.25,26.23,34.32,2020-01-01
Teaching and educational professionals,1626,23.53,1.6,24.48,2.4,14.38,17.29,18.71,19.97,22.09,25.09,27.20,28.35,30.16,35.29,2020-01-01
"  Business, media and public service professionals",1566,20.91,1.4,23.71,0.9,12.39,15.06,16.08,17.2,19.1,23.03,25.82,27.48,29.86,36.79,2020-01-01
Associate professional and technical occupations,4062,15.66,-0.8,18.29,-1.1,10.00,11.54,12.27,12.87,14.25,17.33,19.46,20.54,22.10,27.74,2020-01-01
"  Science, engineering and technology associate professionals",746,14.3,-0.5,15.65,0.6,9.45,10.74,11.22,11.89,12.95,15.65,17.39,18.34,19.51,23.36,2020-01-01
Health and social care associate professionals,433,13.21,0.6,14.35,0.6,9.70,10.68,11.18,11.63,12.36,14,15.23,15.93,16.58,19.56,2020-01-01
Protective service occupations,340,19.23,2.9,18.57,3.1,12.89,14.22,14.70,15.56,17.43,19.73,20.41,20.94,21.64,23.29,2020-01-01
"  Culture, media and sports occupations",274,13.29,-2.9,17.18,0.4,8.72,9.93,10.40,11.02,12.3,14.74,16.30,17.46,19.16,24.21,2020-01-01
Business and public service associate professionals,2269,16.63,-2.8,19.91,-2.1,10.32,12.09,12.87,13.65,15.15,18.65,20.97,22.75,24.91,32.29,2020-01-01
Administrative and secretarial occupations,2849,11.54,0.6,13.42,0.4,8.72,9.50,9.87,10.08,10.78,12.57,13.87,14.64,15.76,20.00,2020-01-01
Administrative occupations,2291,11.9,1.4,13.73,0.3,8.91,9.75,10.00,10.33,10.99,12.95,14.18,15.08,16.19,20.84,2020-01-01
Secretarial and related occupations,558,10.36,0.9,12,0.1,8.22,8.87,9.06,9.29,9.86,11.06,12.25,12.72,13.50,16.81,2020-01-01
Skilled trades occupations,1758,12.04,-3.7,13.35,-2.4,8.20,9.10,9.58,10,11,13.31,14.69,15.47,16.43,19.36,2020-01-01
Skilled agricultural and related trades,104,10.42,2.6,10.86,-0.3,7.88,8.75,9.00,9.27,9.77,10.97,11.50,11.87,12.35,13.99,2020-01-01
"  Skilled metal, electrical and electronic trades",930,13.86,-3.6,14.69,-3,8.78,10.20,10.85,11.45,12.71,15.03,16.42,17.23,18.21,21.50,2020-01-01
Skilled construction and building trades,296,12.62,-5.1,13.06,-5.8,8.26,9.58,10.00,10.55,11.71,13.7,14.50,15.00,15.62,17.68,2020-01-01
"  Textiles, printing and other skilled trades",429,9.71,-1.8,10.79,-1.2,7.32,8.41,8.72,8.75,9.2,10.2,10.94,11.37,11.97,13.88,2020-01-01
"Caring, leisure and other service occupations",2422,10.08,2.8,10.87,1.9,8.36,8.90,9.07,9.27,9.69,10.71,11.39,11.88,12.44,14.21,2020-01-01
Caring personal service occupations,2057,10.14,2.9,10.87,2.6,8.69,9.00,9.17,9.36,9.76,10.79,11.45,11.94,12.49,14.21,2020-01-01
"  Leisure, travel and related personal service occupations",366,9.63,0.6,10.87,-1.4,6.98,8.21,8.65,8.73,9.18,10.19,10.97,11.50,12.10,14.23,2020-01-01
Sales and customer service occupations,1980,9.52,4.6,10.94,2,7.50,8.72,8.77,8.97,9.19,9.94,10.61,11.14,11.88,14.80,2020-01-01
Sales occupations,1415,9.31,4.9,10.31,2.2,7.11,8.66,8.72,8.81,9.08,9.62,10.06,10.37,10.88,13.18,2020-01-01
Customer service occupations,565,10.44,0.2,12.25,1.3,8.48,8.97,9.14,9.29,9.86,11.35,12.52,13.27,14.26,17.22,2020-01-01
"Process, plant and machine operatives",1340,10.93,-0.8,12.23,-0.6,8.24,8.92,9.20,9.5,10.18,11.82,12.87,13.52,14.41,16.97,2020-01-01
"  Process, plant and machine operatives",648,10.81,0,11.96,-0.3,8.19,8.82,9.06,9.37,10.07,11.79,13.01,13.75,14.51,16.92,2020-01-01
Transport and mobile machine drivers and operatives,692,11,-2,12.47,-0.7,8.37,9.00,9.29,9.66,10.3,11.84,12.76,13.38,14.28,17.00,2020-01-01
Elementary occupations,2408,9.22,3,10.77,6.5,6.72,7.98,8.43,8.72,8.87,9.64,10.34,10.73,11.25,13.32,2020-01-01
Elementary trades and related occupations,326,9.75,2.2,10.61,0.6,7.60,8.72,8.72,8.83,9.23,10.31,11.02,11.53,12.20,14.19,2020-01-01
Elementary administration and service occupations,2082,9.18,3.5,10.81,7.8,6.60,7.75,8.25,8.72,8.8,9.52,10.19,10.60,11.08,13.12,2020-01-01
North East,896,12.4,1.9,15.69,2.3,8.69,9.25,9.61,10.02,11,14.16,16.44,18.02,19.81,25.92,2020-01-01
"North East,  Managers, directors and senior officials",79,18.17,4.4,22.85,0.7,9.32,11.54,12.67,13.77,15.27,21.31,26.06,28.41,31.49,x,2020-01-01
"  North East, Corporate managers and directors",63,19.52,4,24.28,1.7,9.32,11.53,12.82,13.85,16.24,23.8,28.39,30.61,35.10,x,2020-01-01
"  North East, Other managers and proprietors",16,15.25,3.8,17.39,0.5,x,11.41,12.20,12.67,14.13,17.37,19.76,x,x,x,2020-01-01
"North East,  Professional occupations",185,20.58,2.7,22.32,3.1,12.62,14.91,16.03,16.77,18.82,22.65,24.75,26.42,28.64,35.00,2020-01-01
"  North East, Science, research, engineering and technology professionals",39,19.79,2.9,21.14,2.5,12.61,14.78,16.02,16.6,18.09,21.71,23.87,24.85,27.05,x,2020-01-01
"  North East, Health professionals",52,19.8,5,23.52,8.1,13.20,15.72,16.27,16.76,18.64,21.97,23.84,26.00,x,x,2020-01-01
"  North East, Teaching and educational professionals",51,23.57,1.7,24.78,3.8,13.63,16.60,18.04,19.45,21.31,25.52,28.10,30.38,31.12,x,2020-01-01
"  North East, Business, media and public service professionals",43,19.11,0.3,19.52,-3.6,11.03,12.93,13.75,14.29,16.78,20.74,21.97,22.76,25.01,x,2020-01-01
"North East,  Associate professional and technical occupations",138,13.97,-2.5,15.75,-1.8,9.69,10.63,11.16,11.76,12.87,15.55,17.04,17.88,19.21,23.10,2020-01-01
"  North East, Science, engineering and technology associate professionals",30,13.08,0.8,14.33,0.2,9.01,10.11,10.97,11.2,12,13.79,15.60,16.29,17.96,x,2020-01-01
"  North East, Health and social care associate professionals",18,12.25,-1.3,12.9,-6.5,9.30,10.09,10.67,10.98,11.81,12.88,13.84,14.23,x,x,2020-01-01
"  North East, Protective service occupations",10,18.23,-2.8,17.86,2.6,x,15.04,15.51,16.22,17.2,19.23,19.26,x,x,x,2020-01-01
"  North East, Culture, media and sports occupations",8,12.49,-2.3,12.82,-8,x,x,9.71,10.1,11.15,13.31,x,x,x,x,2020-01-01
"  North East, Business and public service associate professionals",72,14.71,-1.4,16.96,-1.7,9.82,10.77,11.41,12.12,13.38,16.17,17.58,18.74,19.92,x,2020-01-01
"North East,  Administrative and secretarial occupations",109,10.94,0.9,12.3,-1,8.72,9.44,9.74,10,10.55,12,13.09,13.66,13.99,16.45,2020-01-01
"  North East, Administrative occupations",94,11.14,0.9,12.52,-1.4,8.73,9.65,9.94,10.15,10.62,12.29,13.42,13.84,14.32,16.63,2020-01-01
"  North East, Secretarial and related occupations",15,9.8,2.5,10.71,-0.2,8.50,8.73,8.87,9,9.48,10.51,10.96,11.62,12.35,x,2020-01-01
"North East,  Skilled trades occupations",71,12.47,-3.1,13.43,-2.5,8.20,9.09,9.60,10.23,11.23,13.58,14.48,15.03,15.93,x,2020-01-01
"  North East, Skilled metal, electrical and electronic trades",38,13.73,-6.7,14.66,-3.6,8.67,10.41,11.20,11.75,12.78,14.73,16.00,16.45,17.47,x,2020-01-01
"  North East, Skilled construction and building trades",14,13.13,-3.8,13.01,-6.6,x,10.13,10.53,11.01,12.29,13.97,14.14,14.39,x,x,2020-01-01
"  North East, Textiles, printing and other skilled trades",16,9.27,-5.6,10.82,2,7.04,8.40,x,8.72,8.94,9.89,10.51,x,x,x,2020-01-01
"North East,  Caring, leisure and other service occupations",86,9.94,5.1,10.56,2.5,8.34,8.80,8.99,9.16,9.57,10.41,11.00,11.49,12.05,13.18,2020-01-01
"  North East, Caring personal service occupations",75,9.97,4.4,10.6,3.9,8.52,8.86,9.07,9.27,9.61,10.44,11.07,11.58,12.08,13.15,2020-01-01
"  North East, Leisure, travel and related personal service occupations",11,9.53,5,10.24,-5.9,x,7.08,8.05,8.56,8.85,10.11,10.90,x,x,x,2020-01-01
