Date,Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile
2020-01-01,East,2279,13.28,2.3,16.74,0.8,8.72,9.42,9.87,10.32,11.63,15.33,18.20,19.88,21.89,28.46
2020-01-01,East Midlands,1722,12.65,5.2,15.87,3.8,8.69,9.20,9.59,10.01,11.12,14.53,17.01,18.84,20.62,26.28
2020-01-01,London,3895,18.3,3.2,23.78,2.9,9.35,11.00,12.00,13.1,15.41,21.6,25.72,28.24,31.43,42.14
2020-01-01,North East,896,12.4,1.9,15.69,2.3,8.69,9.25,9.61,10.02,11,14.16,16.44,18.02,19.81,25.92
2020-01-01,North West,2653,12.9,3.2,16.36,2.1,8.72,9.29,9.70,10.09,11.26,15.17,17.90,19.47,21.43,27.16
2020-01-01,Northern Ireland,1002,12,1.5,14.96,0.4,7.88,9.00,9.36,9.75,10.71,13.69,16.14,17.76,19.64,23.89
2020-01-01,Scotland,2155,14.09,5.2,17.25,4.3,8.95,9.73,10.33,10.88,12.32,16.19,19.08,20.33,22.29,27.35
2020-01-01,South East,3887,14.33,2.3,17.88,-0.2,8.76,9.67,10.17,10.82,12.46,16.68,19.64,21.29,23.48,30.47
2020-01-01,South West,2145,12.74,2.4,16.36,3.8,8.58,9.28,9.68,10.06,11.2,14.61,17.12,18.91,20.84,26.41
2020-01-01,United Kingdom,25910,13.71,3.3,17.63,2.1,8.72,9.50,9.98,10.51,11.92,15.95,18.99,20.64,22.76,29.71
2020-01-01,Wales,1137,12.5,2.6,15.28,1.2,8.69,9.25,9.65,10.02,11.02,14.45,16.77,18.35,19.74,24.79
2020-01-01,West Midlands,2086,12.92,3.4,16.34,2.8,8.72,9.29,9.69,10.12,11.28,14.97,17.52,19.36,21.13,26.92
2020-01-01,Yorkshire and The Humber,2053,12.46,2.4,15.76,1.9,8.72,9.22,9.58,9.97,10.96,14.32,16.66,18.40,20.12,26.25
2021-01-01,East,2434,13.72,,17.3,,9.07,9.93,10.28,10.84,12.16,15.66,18.54,20.13,22.22,28.30
2021-01-01,East Midlands,1815,12.77,,15.88,,8.96,9.55,9.98,10.35,11.48,14.5,16.82,18.40,20.05,25.70
2021-01-01,London,3968,18.73,,24.1,,9.74,11.54,12.56,13.71,16,21.91,25.84,28.11,30.96,41.04
2021-01-01,North East,927,12.73,,15.78,,8.93,9.58,9.96,10.34,11.28,14.38,16.69,18.28,19.96,25.10
2021-01-01,North West,2806,13.2,,16.58,,8.98,9.69,10.01,10.49,11.71,15.28,17.96,19.58,21.70,27.09
2021-01-01,Northern Ireland,1078,12.84,,16.02,,8.91,9.50,9.93,10.32,11.45,15.04,17.59,19.22,20.83,25.51
2021-01-01,Scotland,2227,14.34,,17.44,,9.18,10.00,10.58,11.17,12.63,16.48,19.32,20.82,22.56,27.14
2021-01-01,South East,4066,14.89,,18.5,,9.25,10.20,10.79,11.46,13.02,17.31,20.28,22.04,24.09,30.99
2021-01-01,South West,2278,13.16,,16.33,,9.00,9.76,10.09,10.58,11.73,15.1,17.47,19.17,20.97,26.68
2021-01-01,United Kingdom,27111,14.12,,17.97,,9.04,9.95,10.38,10.96,12.37,16.33,19.32,20.95,23.00,29.54
2021-01-01,Wales,1194,12.86,,15.63,,9.00,9.72,10.05,10.49,11.49,14.7,16.95,18.55,19.98,24.92
2021-01-01,West Midlands,2175,13.31,,17.04,,8.96,9.62,10.01,10.53,11.8,15.42,18.08,19.71,21.39,27.01
2021-01-01,Yorkshire and The Humber,2143,12.89,,16.16,,8.99,9.66,10.00,10.41,11.5,14.75,17.14,18.91,20.68,26.38
2022-01-01,East,2429,14.47,5.5,18.02,4.2,9.78,10.50,11.00,11.53,12.83,16.55,19.34,20.92,23.12,28.94
2022-01-01,East Midlands,1825,13.45,5.3,16.74,5.4,9.65,10.24,10.62,11.07,12.12,15.31,17.60,19.23,20.87,26.61
2022-01-01,London,4085,19.44,3.8,24.95,3.5,10.57,12.19,13.19,14.32,16.67,22.88,26.41,28.73,31.64,42.46
2022-01-01,North East,1015,13.33,4.7,16.51,4.6,9.59,10.09,10.47,10.93,11.89,15.04,17.38,18.78,20.38,25.48
2022-01-01,North West,2840,13.81,4.6,17.4,5,9.69,10.25,10.67,11.12,12.31,15.93,18.62,20.22,22.22,28.20
2022-01-01,Northern Ireland,1180,13.5,5.1,17.1,6.7,9.54,10.21,10.58,11.02,12.11,15.64,18.35,20.00,22.25,27.02
2022-01-01,Scotland,2386,15,4.6,18.22,4.4,9.94,10.82,11.28,11.96,13.29,17.09,20.08,21.37,23.19,28.42
2022-01-01,South East,3895,15.34,3,19.11,3.3,9.90,10.77,11.36,12,13.52,17.93,20.92,22.71,24.66,31.15
2022-01-01,South West,2264,14.18,7.8,17.36,6.3,9.75,10.45,10.92,11.38,12.64,16.11,18.57,20.14,21.98,27.68
2022-01-01,United Kingdom,27498,14.79,4.8,18.75,4.4,9.80,10.55,11.05,11.63,13.01,17.06,20.00,21.75,23.88,30.36
2022-01-01,Wales,1178,13.83,7.6,16.63,6.4,9.75,10.37,10.77,11.2,12.43,15.78,17.91,19.59,20.74,25.84
2022-01-01,West Midlands,2287,14,5.2,17.4,2.1,9.66,10.30,10.78,11.33,12.5,16.16,19.10,20.54,22.18,27.53
2022-01-01,Yorkshire and The Humber,2112,13.49,4.6,16.9,4.6,9.65,10.25,10.63,11.09,12.15,15.33,17.65,19.34,21.26,27.05
2023-01-01,East,2427,15.67,8.3,19.37,7.5,10.63,11.50,11.99,12.51,13.99,17.78,20.76,22.44,24.64,30.99
2023-01-01,East Midlands,1858,14.49,7.7,17.9,6.9,10.50,11.11,11.53,11.98,13.05,16.31,18.80,20.51,22.40,28.26
2023-01-01,London,4187,20.59,5.9,26.72,7.1,11.49,13.15,14.22,15.33,17.84,24.01,28.33,31.02,34.37,45.52
2023-01-01,North East,1007,14.39,7.9,17.61,6.7,10.52,11.10,11.52,11.92,13,16.17,18.45,20.12,21.62,26.91
2023-01-01,North West,2904,15.17,9.8,18.83,8.2,10.57,11.28,11.78,12.25,13.5,17.26,20.14,21.65,23.69,29.80
2023-01-01,Northern Ireland,1112,14.39,6.6,18.18,6.3,10.50,11.09,11.5,11.85,12.96,16.6,19.36,20.99,23.02,28.19
2023-01-01,Scotland,2307,16.69,11.3,20.28,11.3,10.86,11.81,12.47,13.19,14.85,19.07,22.47,24.14,26.08,32.43
2023-01-01,South East,3846,16.61,8.3,20.59,7.8,10.81,11.76,12.32,13.01,14.62,19.19,22.43,24.21,26.14,33.25
2023-01-01,South West,2370,15.24,7.4,18.76,8.1,10.65,11.45,11.92,12.42,13.71,17.27,20.11,21.65,23.77,29.86
2023-01-01,United Kingdom,27645,16,8.2,20.25,8,10.69,11.54,12.03,12.67,14.14,18.33,21.43,23.32,25.55,32.77
2023-01-01,Wales,1211,14.88,7.6,18.01,8.3,10.60,11.29,11.76,12.21,13.42,16.84,19.30,20.85,22.46,28.31
2023-01-01,West Midlands,2284,15.2,8.6,18.95,8.9,10.57,11.33,11.82,12.3,13.56,17.3,20.21,21.79,23.96,29.70
2023-01-01,Yorkshire and The Humber,2133,14.67,8.8,18.2,7.7,10.53,11.24,11.66,12.1,13.22,16.57,19.16,20.76,22.75,29.20
2024-01-01,East,2478,16.74,6.8,21.03,8.6,11.57,12.37,12.83,13.4,14.91,18.98,22.06,23.96,26.06,33.16
2024-01-01,East Midlands,1871,15.41,6.3,19.07,6.5,11.50,12.06,12.49,12.92,14.06,17.41,19.94,21.73,23.71,29.49
2024-01-01,London,4382,21.87,6.2,28.57,6.9,12.50,14.23,15.20,16.43,19.04,25.61,30.00,32.67,36.14,47.91
2024-01-01,North East,947,15.2,5.6,18.82,6.8,11.49,12.04,12.44,12.8,13.93,17.07,19.45,21.26,23.11,28.89
2024-01-01,North West,2931,16.28,7.3,20.29,7.8,11.55,12.30,12.74,13.22,14.54,18.62,21.56,23.22,25.46,32.12
2024-01-01,Northern Ireland,1043,15.2,5.6,18.95,4.2,11.45,12.00,12.36,12.73,13.83,17.23,20.05,21.54,23.37,28.49
2024-01-01,Scotland,2422,17.54,5,21.17,4.4,11.91,12.82,13.39,14.11,15.6,19.97,23.11,24.71,26.57,32.66
2024-01-01,South East,3901,17.75,6.9,21.93,6.5,11.75,12.63,13.24,13.96,15.62,20.36,23.63,25.55,27.68,35.40
2024-01-01,South West,2309,16.24,6.6,19.88,6,11.57,12.38,12.80,13.32,14.58,18.31,21.10,22.70,24.90,31.36
2024-01-01,United Kingdom,27882,17.09,6.8,21.65,6.9,11.64,12.50,13.00,13.63,15.1,19.50,22.67,24.62,26.87,34.75
2024-01-01,Wales,1217,15.85,6.5,19.1,6,11.59,12.20,12.62,13.05,14.29,17.96,20.37,22.06,23.75,29.47
2024-01-01,West Midlands,2204,15.97,5,20,5.5,11.50,12.17,12.58,13.09,14.36,18.10,20.91,22.60,24.73,31.25
2024-01-01,Yorkshire and The Humber,2178,15.81,7.8,19.53,7.3,11.54,12.23,12.61,13.07,14.31,17.91,20.51,22.24,24.29,30.54
