Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,25910,36.9,-0.2,32.7,-1.4,15.00,23.90,28.00,31.70,35.00,37.50,37.70,39.20,40.00,42.00,2020-01-01
"Managers, directors and senior officials",2844,37.5,0,36.1,-1.1,25.50,35.00,35.00,35.00,37.00,37.50,39.90,40.00,40.00,42.50,2020-01-01
Corporate managers and directors,2395,37.5,0,35.9,-1.2,26.00,35.00,35.00,35.00,37.00,37.50,39.90,40.00,40.00,42.50,2020-01-01
Other managers and proprietors,450,37.5,0,36.7,-1,25.00,34.90,35.00,36.10,37.00,39.10,40.00,40.00,40.80,45.00,2020-01-01
Professional occupations,6247,36.3,-1.8,32.9,-0.8,19.40,27.80,31.50,32.50,35.00,37.00,37.50,37.50,37.50,40.00,2020-01-01
"  Science, research, engineering and technology professionals",1426,37.5,0,36.8,-0.8,34.50,35.00,36.50,36.90,37.00,37.50,37.60,38.90,40.00,40.20,2020-01-01
Health professionals,1628,37.4,-0.2,31.8,-1.5,13.10,22.50,24.00,28.60,34.00,37.50,37.50,37.50,38.90,40.00,2020-01-01
Teaching and educational professionals,1626,32.5,0.1,28.8,0.6,14.60,22.00,24.90,27.30,32.20,32.50,32.50,35.00,35.00,37.00,2020-01-01
"  Business, media and public service professionals",1566,37,0,35,-1,27.80,35.00,35.00,35.00,36.00,37.00,37.50,x,37.50,40.00,2020-01-01
Associate professional and technical occupations,4062,37.3,-0.3,35.3,-0.8,24.00,34.90,35.00,35.00,37.00,37.50,38.40,39.90,40.00,41.40,2020-01-01
"  Science, engineering and technology associate professionals",746,37.5,0,37.3,-0.5,33.00,35.80,36.80,37.00,37.30,37.50,39.50,40.00,40.00,42.20,2020-01-01
Health and social care associate professionals,433,36,-0.4,31.5,0.7,16.70,22.50,26.00,29.90,35.00,37.00,37.00,37.40,37.50,39.90,2020-01-01
Protective service occupations,340,40,0,39.7,-0.6,36.20,37.50,40.00,40.00,40.00,40.30,42.00,42.10,42.60,45.10,2020-01-01
