Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27645,574.9,7.7,669.9,7.5,195.50,330.10,393.80,432.40,502.00,665.50,775.60,840.10,919.90,1182.70,2023-01-01
"Managers, directors and senior officials",2903,894.9,7.7,1098.5,7.9,419.60,551.10,597.90,654.90,766.60,1044.80,1236.10,1360.70,1525.40,1981.60,2023-01-01
Corporate managers and directors,2294,996.6,9.1,1192.2,9,439.50,576.90,649.00,718.70,859.70,1151.80,1376.90,1506.10,1658.00,2108.20,2023-01-01
Other managers and proprietors,609,672.9,5.8,745.6,4.8,383.30,479.10,516.60,549.60,607.60,743.30,820.00,865.50,927.40,1120.50,2023-01-01
Professional occupations,7810,803.6,6.1,869.6,7,425.00,546.20,596.40,641.40,724.90,890.10,989.70,1054.10,1132.60,1357.80,2023-01-01
"Science, research, engineering and technology professionals",1941,893.5,7.1,968.8,8.7,527.00,632.10,676.20,727.90,808.80,988.30,1106.10,1177.30,1245.70,1468.10,2023-01-01
Health professionals,1940,726,5.4,797.6,6.4,331.90,488.70,532.40,579.30,647.40,803.10,906.40,953.20,1033.50,1252.10,2023-01-01
Teaching and other educational professionals,1590,767.5,6.7,780.6,6.7,321.10,485.80,536.60,593.60,683.30,837.20,924.90,976.20,1033.10,1220.20,2023-01-01
"Business, media and public service professionals",2339,820.2,6,907.6,4.4,466.50,574.30,613.70,662.50,742.10,911.30,1016.00,1080.30,1162.70,1404.80,2023-01-01
Associate professional occupations,4242,616.2,4.4,694,5.5,322.10,440.80,473.90,500.60,557.80,685.40,774.10,827.00,887.40,1090.60,2023-01-01
"Science, engineering and technology associate professionals",846,615.6,6.6,655.3,6.8,401.00,461.30,488.70,516.50,564.20,674.60,743.80,781.80,827.20,963.30,2023-01-01
Health and social care associate professionals,622,469.5,8,465.4,6.2,200.20,295.00,334.90,371.80,427.30,510.60,557.70,582.10,613.70,695.60,2023-01-01
Protective service occupations,323,813.9,3.3,792.1,0.7,521.30,591.40,628.30,661.20,727.10,851.70,893.70,922.40,963.20,1079.10,2023-01-01
"Culture, media and sports occupations",252,489.2,2.2,601.8,16.4,74.10,152.80,201.30,268.50,411.20,555.10,630.00,670.80,737.80,949.50,2023-01-01
Business and public service associate professionals,2198,665.5,5.9,769.7,6,399.30,479.10,507.20,536.60,597.50,741.60,843.20,903.70,980.70,1274.40,2023-01-01
Administrative and secretarial occupations,2984,457.5,8.5,470,6.2,183.30,260.00,304.80,350.00,416.50,499.70,549.80,582.90,623.10,747.90,2023-01-01
Administrative occupations,2449,469.8,7.3,487.9,6.3,196.00,286.80,337.50,384.20,433.20,515.10,566.50,599.20,638.60,766.60,2023-01-01
Secretarial and related occupations,535,374.5,5.6,388.3,5.9,143.70,207.00,231.00,251.80,308.10,421.60,473.20,503.70,535.40,654.90,2023-01-01
Skilled trades occupations,1700,598.5,6.7,625.4,6.3,311.50,430.20,460.30,491.10,543.00,654.60,720.00,761.80,807.30,951.30,2023-01-01
Skilled agricultural and related trades,107,479.6,10.7,488.1,9.7,269.00,386.30,413.80,425.10,456.40,514.50,545.30,572.10,594.80,678.30,2023-01-01
"Skilled metal, electrical and electronic trades",874,680.9,6.5,715.8,7,432.10,511.10,540.00,574.90,627.00,737.80,807.60,849.80,901.70,1054.10,2023-01-01
Skilled construction and building trades,299,627.5,7.1,645.9,5.8,375.10,468.00,505.30,529.00,583.90,680.00,733.80,765.70,806.80,922.30,2023-01-01
"Textiles, printing and other skilled trades",420,465.6,9.5,457.5,7,200.60,270.00,318.30,361.70,420.50,505.20,551.30,576.70,604.50,689.90,2023-01-01
"Caring, leisure and other service occupations",2288,384.3,10.2,385.3,9.5,134.90,216.60,248.20,277.30,334.20,424.30,467.90,495.50,527.90,621.90,2023-01-01
Caring personal service occupations,1897,383.9,9.8,386.4,9.6,144.00,225.60,255.70,284.10,337.20,422.50,464.50,492.30,522.30,616.80,2023-01-01
"Leisure, travel and related personal service occupations",373,375.1,12.6,374.4,10,104.10,168.30,201.10,232.80,301.00,428.70,479.20,507.10,543.80,636.50,2023-01-01
Community and civil enforcement occupations,18,510,5.4,499.5,5.9,x,405.40,429.00,448.20,492.00,545.10,586.60,606.50,634.40,x,2023-01-01
Sales and customer service occupations,1646,306.9,6.3,336.1,6.2,110.50,166.70,184.00,207.30,250.90,373.60,429.80,455.30,486.30,577.60,2023-01-01
Sales occupations,1244,270.9,4.7,306,5.1,103.10,154.70,170.90,187.90,226.40,323.70,389.50,418.30,448.00,536.70,2023-01-01
Customer service occupations,402,434.8,11.1,429.3,11.7,163.50,236.60,275.30,313.00,397.50,470.40,515.80,539.10,575.50,683.50,2023-01-01
"Process, plant and machine operatives",1244,564.2,8.4,595.7,7.1,274.90,415.40,440.00,463.90,512.30,622.90,691.20,733.60,777.70,917.60,2023-01-01
