Date,Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile
2020-01-01,East,2279,460,-0.9,533.5,-1.8,129.10,224.20,272.30,320.00,388.20,533.9,622.70,684.40,760.30,977.40
2020-01-01,East Midlands,1722,455.1,3.3,526.4,3.4,157.60,254.00,292.20,329.50,388.10,526.3,613.30,672.70,750.30,938.30
2020-01-01,London,3895,639.9,0.6,798.6,1.4,196.20,343.40,401.10,450.80,546.20,760.8,901.20,994.90,1109.20,1500.60
2020-01-01,North East,896,436,-0.5,507.5,0.3,148.10,246.10,287.50,322.90,379.80,504,587.40,643.90,717.20,899.00
2020-01-01,North West,2653,460,1,535.9,0.8,156.90,252.80,295.50,335.60,391.30,534.2,631.90,690.00,764.70,966.80
2020-01-01,Northern Ireland,1002,432,0.8,496.3,-0.2,148.60,239.60,279.00,311.30,371.90,497.4,590.20,642.10,714.30,874.50
2020-01-01,Scotland,2155,482.4,2.5,557.1,2.7,160.00,267.00,314.00,351.00,413.00,564.3,658.80,716.80,786.90,972.80
2020-01-01,South East,3887,496.7,-0.3,581.2,-1.4,157.10,260.70,308.40,350.00,421.60,575.8,684.00,747.40,823.60,1074.10
2020-01-01,South West,2145,437,-0.4,517.7,2.4,137.20,226.50,269.10,307.80,373.70,509.3,595.40,648.20,719.60,911.40
2020-01-01,United Kingdom,25910,479.1,0,575.8,0.7,156.80,258.20,304.00,344.90,408.00,565.3,666.90,728.40,800.70,1045.20
2020-01-01,Wales,1137,445.2,1,499.9,0.6,154.10,255.60,293.00,328.20,381.90,515.4,601.20,658.40,721.60,872.80
2020-01-01,West Midlands,2086,460,0.4,535.9,1.1,157.00,251.40,295.10,335.00,392.40,532.8,622.90,683.30,753.10,951.50
2020-01-01,Yorkshire and The Humber,2053,441.2,-0.5,514.7,0.6,152.40,244.40,287.50,325.60,380.00,514.9,597.00,653.00,726.20,919.90
2021-01-01,East,2434,490.9,,566.9,,159.90,253.30,305.70,353.00,419.60,568.50,666.40,726.20,797.30,1008.80
2021-01-01,East Midlands,1815,471,,536,,168.50,269.60,320.00,354.20,410.10,536.60,620.90,678.40,747.40,932.60
2021-01-01,London,3968,670.7,,815.8,,213.10,369.00,428.60,476.30,572.30,772.90,915.00,996.60,1103.50,1472.90
2021-01-01,North East,927,459,,521.5,,165.60,264.90,310.50,346.40,400.30,525.40,613.10,667.00,730.80,907.30
2021-01-01,North West,2806,479.1,,549.2,,167.70,271.20,319.90,356.40,413.30,551.60,647.40,709.10,777.80,973.00
2021-01-01,Northern Ireland,1078,470,,532.2,,156.10,262.40,306.60,346.10,405.30,548.10,637.80,694.20,751.30,933.90
2021-01-01,Scotland,2227,503,,573,,173.90,280.30,331.70,368.70,437.20,585.70,684.70,748.70,799.70,986.70
2021-01-01,South East,4066,526.2,,610.3,,170.60,289.80,345.00,381.00,455.10,611.80,721.60,779.60,861.40,1103.60
2021-01-01,South West,2278,465.1,,527.7,,157.80,249.50,300.00,344.90,402.70,536.60,621.30,671.90,741.50,939.70
